PhyloName,Csize,Locality,Depth,PC1,PC2,PC3,PC4,PC5
Tropheops_black_dorsal-CH,21.28995068,CH,S,-0.032980196,0.023416197,-0.004655691,0.014944459,-0.006329448
Tropheops_black_dorsal-ER,22.88072348,ER,S,-0.005566827,-0.002767769,-0.023953361,-0.013239293,-0.012395529
Tropheops_black_dorsal-MU,21.28845681,MU,D,0.029036481,-0.023579375,-0.004716493,0.007693803,0.007939993
Tropheops_black_dorsal-WR,23.7608718,WR,S,0.003270474,0.013597077,-0.02792937,-0.016663087,-0.000450512
Tropheops_broadmouth-OI,21.56204248,OI,D,0.010213096,0.000218562,0.004211431,-0.001165794,0.003205211
Tropheops_chinyamwezi-CW,25.56059707,CW,S,-0.001650426,-0.009397672,0.007937581,-0.010701107,0.000560673
Tropheops_chinyankwazi-CK,23.3548341,CK,S,0.004573788,-0.013564523,-0.000472295,-0.001587473,0.008578365
Tropheops_gold_chest-CH,22.67885542,CH,S,-0.012578208,0.001945664,0.005354358,-0.006662847,-0.003502729
Tropheops_gold-ER,21.6939532,ER,S,-0.000279663,0.001757494,-0.004070333,-0.002298574,0.003167754
Tropheops_gracilior-DI,24.61881165,DI,D,0.025341215,-0.000548732,0.00356925,0.005428317,0.002460891
Tropheops_gracilior-OP,23.78062296,OP,D,0.032300574,0.010686135,-0.001040431,0.006093689,-0.000209219
Tropheops_intermediate-ER,27.30101639,ER,S,-0.07189508,-0.009810768,-0.021263608,-0.006099095,0.015902098
Tropheops_intermediate-MZ,24.07857163,MZ,D,0.006421435,-0.000514987,-0.004279776,0.007987883,0.006996424
Tropheops_intermediate-OI,24.87997563,OI,D,0.015514672,0.01258975,0.017186859,-0.012247229,0.001627968
Tropheops_intermediate-TW,24.40898928,TW,D,0.021415888,0.014007023,0.005642554,0.003389877,0.001832628
Tropheops_lilac-MU,25.18479949,MU,S,0.013457012,-0.008709655,0.009134571,-0.005261921,0.006030208
Tropheops_lilac-MZ,25.93415664,MZ,S,-0.034714407,0.033126629,0.007807116,0.000721373,-0.003675393
Tropheops_lilac-OP,22.77556306,OP,S,0.013553258,-0.004853547,0.004602822,-0.014095828,0.004217972
Tropheops_lilac-TW,24.27741811,TW,S,-0.005079428,0.006449469,0.011976326,-9.16E-05,-0.001171938
Tropheops_microstoma-OP,20.48558417,OP,D,0.031725728,0.004902408,5.40E-06,0.00505004,0.001609946
Tropheops_orange_chest-ER,29.66211016,ER,S,-0.059058893,-0.029416176,0.013521486,0.005370161,-0.021135459
Tropheops_orange_chest-MZ,19.89144677,MZ,S,-0.005741073,0.006429108,-0.00269786,0.00050994,-0.007206118
Tropheops_orange_chest-TW,24.66300845,TW,S,0.004369819,-0.003326403,0.000366559,0.001980592,0.00129505
Tropheops_red_cheek-TW,22.12572409,TW,S,-0.009583915,0.007641334,0.002968275,0.011426751,0.000845641
Tropheops_white_dorsal-NM,20.36307631,NM,S,-0.014167264,-0.008762773,-0.005219981,0.029830658,0.006866549
Tropheops_zebra-MU,18.42258995,MU,D,0.057855845,-0.012604084,-0.013430841,0.00363881,-0.01935058
Tropheops_zimbawe-ZR,29.9085309,ZR,S,-0.015753904,-0.008910382,0.019445449,-0.013952525,0.002289552